id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11262850,Purita Serviced Apartment,58794980,Aura,,Bang Kho laen,13.69948,100.51474,Private room,,1,0,,,1,0,0,
11263516,Modern & convenient condo near BTS!,40830808,Danny,,Khlong Toei,13.71273,100.59303,Entire home/apt,1000,14,95,2024-08-31,0.91,2,129,13,
11266653,"MRT Lumpini,Silom,Siam,Central of Bangkok Sathorn",58818299,甫宜 Fuyi,,Yan na wa,13.71758,100.54935,Private room,978,3,54,2024-09-16,0.52,2,274,9,
11269875,"Downtown, A view of local activities,Private space",5793490,Nicky,,Bang Kho laen,13.69871,100.52831,Entire home/apt,1000,2,14,2024-05-31,0.17,6,132,6,
11271241,"Comfortable, City View and delicious food around",5793490,Nicky,,Bang Kho laen,13.69946,100.52726,Entire home/apt,950,2,13,2024-08-31,0.13,6,180,8,
11281361,9 Min Walk 2 BTS + Easy Connect 2 Mrt + Cheap!,3720410,Jane,,Thon buri,13.71373,100.46999,Entire home/apt,800,7,15,2024-08-17,0.15,1,359,4,
11781761,"Deluxe condo in Thonglor, BKK",62254557,Char,,Vadhana,13.73841,100.58389,Entire home/apt,1490,1,82,2024-09-09,0.79,1,351,18,
11657716,Cozy with swimming pool & gym near bts Wuttakad,61863454,Apinya,,Thon buri,13.71204,100.46914,Private room,1099,2,0,,,1,358,0,
11660664,"30 floor, bright, 5* Wifi, kitchen",4517723,Kannicha,,Bang Na,13.66288,100.65097,Entire home/apt,391,22,3,2024-08-17,0.04,8,320,2,
11667190,Comfortable condominium in CBD,61090187,Nutthakit,,Huai Khwang,13.7491,100.56821,Private room,,180,0,,,1,0,0,
11667489,独栋别墅  出租,61938702,Xiaowen,,Bang Kapi,13.7662,100.66344,Private room,1000,1,0,,,1,365,0,
11670540,"Stay Monomer, the ideal location (6 Mixed Dorm) 03",56782854,Off,,Ratchathewi,13.75284,100.53124,Shared room,450,1,6,2023-12-03,0.06,24,177,1,
11677929,Room for Family or Group Travellers,34490141,Joy,,Suanluang,13.7076,100.62504,Entire home/apt,652,1,9,2023-05-12,0.09,3,365,0,
11679356,Songphra Studio  Women's Apt. 4,8663142,ISanook,,Bang Rak,13.73373,100.52154,Private room,,30,5,2024-01-02,0.05,56,317,1,
11685379,The Key Sathorn Ratchapruk condo,62078151,Somboon,,Chom Thong,13.713756561279297,100.46678161621094,Entire home/apt,540,14,39,2024-08-15,0.38,1,205,6,
11704547,Clean and modern studio close to Mega Bangna #9,10628048,Pam,,Bang Na,13.66706,100.65242,Entire home/apt,550,5,45,2024-07-01,0.48,4,347,7,
11708077,100 Residence near Thonglor/Ekamai,57638350,Atcharee,,Huai Khwang,13.7434,100.59337,Entire home/apt,,3,30,2020-01-25,0.29,2,0,0,
11718353,Hi-Tech Sukhumvit - 2B/2B Condo -Fibre Optics Wifi,52988942,Scott,,Vadhana,13.74567,100.55694,Entire home/apt,3180,21,28,2024-07-14,0.27,1,271,2,
11722553,Cheap Apartment near BTS SkyTrain for rent,62202130,Aranya,,Phasi Charoen,13.69394,100.4307,Private room,,1,0,,,1,0,0,
11722665,Big Apt near Khoasan/Grand Palace Up to 6 per.#114,59874191,Angela,,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,700,1,210,2024-08-22,2.02,12,325,15,
11729314,Mekhala Cruise: Bangkok - Ayuthaya - Bangkok,9797599,Littlehome,,Bang Rak,13.72056,100.51354,Private room,12000,1,0,,,9,363,0,
11742314,Freeway Guest House,10950957,Pia,,Phaya Thai,13.78976,100.55033,Private room,815,1,154,2024-08-19,1.49,4,361,8,
11742537,Luxury 3 Bedrooms Suite @BTS Phrompong,8444643,Kiattisak,,Vadhana,13.73648,100.57055,Entire home/apt,6500,100,2,2018-01-03,0.02,59,365,0,
11745937,2 Bedroom Suite near Khaosan Road + Free Breakfast,8444643,Kiattisak,,Phra Nakhon,13.75759,100.49594,Entire home/apt,3999,1,24,2023-05-05,0.24,59,361,0,
11753619,near DMK: Don Mueang International Airport,48491149,Auttapon,,Don Mueang,13.88852,100.59296,Private room,900,1,479,2023-12-25,4.77,6,364,6,
11760171,TC green condo - 52 sqm 1BR next to swimming pool,28625777,Jib,,Huai Khwang,13.75513,100.57496,Entire home/apt,,30,2,2018-04-07,0.02,2,0,0,
11763947,Secluded Apartment in CBD with Taxi,37408973,Suchalee,,Ratchathewi,13.75028,100.52632,Entire home/apt,1450,29,39,2024-06-30,0.38,2,193,6,
11764443,Unique Thai House in BKK,9024705,Donie,,Vadhana,13.71357,100.60093,Entire home/apt,876,30,38,2024-06-05,0.38,1,288,3,
11778899,๑City Centre close to BTS (Can leave Luggage),62377000,Supanita,,Bang Rak,13.72368,100.52423,Entire home/apt,3912,2,199,2024-07-28,2.42,4,263,36,
11778915,"MAMA GARDEN ,LOCAL LIFE  5 min to ICON SIAM",43754076,Mong,,Khlong San,13.72447,100.49796,Entire home/apt,1600,1,88,2024-09-14,1.23,3,157,35,
12388042,Large room in a quiet area near BTS,66966934,Nalinee,,Phra Khanong,13.696999837930628,100.61207596421683,Private room,931,2,0,,,1,364,0,
12388145,Family Vacation Apartment (On Nut),29304474,Emily,,Vadhana,13.71449,100.60126,Entire home/apt,950,30,17,2024-02-27,0.17,2,362,2,
12412325,apartment near ladprao station,61342849,Yanisa,,Chatu Chak,13.82095,100.57613,Entire home/apt,905,2,2,2016-05-02,0.02,1,365,0,
12414107,"Samutprakarn, Place for slow life",51377272,Prasit,,Thung khru,13.60304,100.50524,Private room,,2,0,,,1,0,0,
12414161,{A馆}温馨小公寓•絕佳位置靠近地铁站•自助入住•楼下7-11•靠近夜市.7,66868898,WM•House,,Din Daeng,13.78294,100.57354,Entire home/apt,692,1,295,2024-09-19,2.90,8,107,38,
12436002,Suite room with breakfast @Casa Nithra,42085763,Casa,,Phra Nakhon,13.76879,100.50295,Private room,3991,1,0,,,10,363,0,
12437962,City Deluxe room with breakfast @Casa Nithra,42085763,Casa,,Phra Nakhon,13.76879,100.50295,Private room,2816,1,0,,,10,308,0,
12438762,Deluxe balcony room without breakfast @CasaNithra,42085763,Casa,,Phra Nakhon,13.76879,100.50295,Private room,2464,1,0,,,10,308,0,
12439216,Suite room without breakfast @Casa Nithra,42085763,Casa,,Phra Nakhon,13.76879,100.50295,Private room,3347,1,1,2019-01-14,0.01,10,363,0,
12460039,Jariya Residence,64639578,Jariya,,Phra Nakhon,13.76264,100.49594,Private room,,1,0,,,1,0,0,
